Date,Close
1/1/2020,4.73
1/2/2020,4.73
1/3/2020,4.73
1/6/2020,4.73
1/7/2020,4.73
1/8/2020,4.73
1/9/2020,4.73
1/10/2020,4.73
1/13/2020,4.73
1/14/2020,4.73
1/15/2020,4.73
1/16/2020,4.73
1/17/2020,4.73
1/20/2020,4.73
1/21/2020,4.73
1/22/2020,4.73
1/23/2020,4.73
1/24/2020,4.73
1/27/2020,4.73
1/28/2020,4.73
1/29/2020,4.73
1/30/2020,4.73
1/31/2020,4.73
2/3/2020,4.73
2/4/2020,4.73
2/5/2020,4.73
2/6/2020,4.73
2/7/2020,4.73
2/10/2020,4.73
2/11/2020,4.73
2/12/2020,4.73
2/13/2020,4.73
2/14/2020,4.73
2/17/2020,4.73
2/18/2020,4.73
2/19/2020,4.73
2/20/2020,4.73
2/24/2020,4.73
2/25/2020,4.73
2/26/2020,4.73
2/27/2020,4.73
2/28/2020,4.73
3/2/2020,4.73
3/3/2020,4.73
3/4/2020,4.73
3/5/2020,4.73
3/6/2020,4.73
3/9/2020,4.73
3/11/2020,4.73
3/12/2020,4.73
3/13/2020,4.73
3/16/2020,4.73
3/17/2020,4.73
3/18/2020,4.73
3/19/2020,4.73
3/20/2020,4.73
3/23/2020,4.73
3/24/2020,4.73
3/25/2020,4.73
3/26/2020,4.73
3/27/2020,4.73
3/30/2020,4.73
3/31/2020,4.73
4/1/2020,4.73
4/3/2020,4.73
4/7/2020,4.73
4/8/2020,4.73
4/9/2020,4.73
4/13/2020,4.73
4/15/2020,4.73
4/16/2020,4.73
4/17/2020,4.73
4/20/2020,4.73
4/21/2020,4.73
4/22/2020,4.73
4/23/2020,4.73
4/24/2020,4.73
4/27/2020,4.73
4/28/2020,4.73
4/29/2020,4.73
4/30/2020,4.73
5/4/2020,4.73
5/5/2020,4.73
5/6/2020,4.73
5/7/2020,4.73
5/8/2020,4.73
5/11/2020,4.73
5/12/2020,4.73
5/13/2020,4.73
5/14/2020,4.73
5/15/2020,4.73
5/18/2020,4.73
5/19/2020,4.73
5/20/2020,4.73
5/21/2020,4.73
5/22/2020,4.73
5/26/2020,4.73
5/27/2020,4.73
5/28/2020,4.73
5/29/2020,4.73
6/1/2020,4.73
6/2/2020,4.73
6/3/2020,4.73
6/4/2020,4.73
6/5/2020,4.73
6/8/2020,4.73
6/9/2020,4.73
6/10/2020,4.73
6/11/2020,4.73
6/12/2020,4.73
6/15/2020,4.73
6/16/2020,4.73
6/17/2020,4.73
6/18/2020,4.73
6/19/2020,4.73
6/22/2020,4.73
6/23/2020,4.73
6/24/2020,4.73
6/25/2020,4.73
6/26/2020,4.73
6/29/2020,4.73
6/30/2020,4.73
7/1/2020,4.73
7/2/2020,4.73
7/3/2020,4.73
7/6/2020,4.73
7/7/2020,4.73
7/8/2020,4.73
7/9/2020,4.73
7/10/2020,4.73
7/13/2020,4.73
7/14/2020,4.73
7/15/2020,4.73
7/16/2020,4.73
7/17/2020,4.73
7/20/2020,4.73
7/21/2020,4.73
7/22/2020,4.73
7/23/2020,4.73
7/24/2020,4.73
7/27/2020,4.73
7/28/2020,4.73
7/29/2020,4.73
7/30/2020,4.73
7/31/2020,4.73
8/3/2020,4.73
8/4/2020,4.73
8/5/2020,4.73
8/6/2020,4.73
8/7/2020,4.73
8/10/2020,4.73
8/11/2020,4.73
8/12/2020,4.73
8/13/2020,4.73
8/14/2020,4.73
8/17/2020,4.73
8/18/2020,4.73
8/19/2020,4.73
8/20/2020,4.73
8/21/2020,4.73
8/24/2020,4.73
8/25/2020,4.73
8/26/2020,4.73
8/27/2020,4.73
8/28/2020,4.73
8/31/2020,4.73
9/1/2020,4.73
9/2/2020,4.73
9/3/2020,4.73
9/4/2020,4.73
9/7/2020,4.73
9/8/2020,4.73
9/9/2020,4.73
9/10/2020,4.73
9/11/2020,4.73
9/14/2020,4.73
9/15/2020,4.73
9/16/2020,4.73
9/17/2020,4.73
9/18/2020,4.73
9/21/2020,4.73
9/22/2020,4.73
9/23/2020,4.73
9/24/2020,4.73
9/25/2020,4.73
9/28/2020,4.73
9/29/2020,4.73
9/30/2020,4.73
10/1/2020,4.73
10/5/2020,4.73
10/6/2020,4.73
10/7/2020,4.73
10/8/2020,4.73
10/9/2020,4.73
